variable,estimate,stderr,lower_ci,upper_ci,df,n_unweighted,sum_weights,singleton_strata,label
asthma_only,0.07249734207246311,0.005276211812824598,0.06189439746756203,0.08310028667736419,49,10219,128437100.92544334,0,Asthma only
copd_only,0.013454883706015896,0.0018305000211157694,0.009776356192017097,0.017133411220014695,49,10219,128437100.92544334,0,COPD only
overlap,0.007642688041101769,0.0010718236794851797,0.005488777716239604,0.009796598365963933,49,10219,128437100.92544334,0,Asthma-COPD overlap
no_disease,0.9064050861804192,0.006044567454882369,0.8942580731039302,0.9185520992569081,49,10219,128437100.92544334,0,Neither
