AUROC,Accuracy,Balanced_Accuracy,Macro_F1,Asthma_Sensitivity,COPD_Sensitivity,Model,CV_best_AUC,Threshold
0.9620222544750846,0.8864864864864865,0.9017900338655056,0.8129423660262891,0.8805031446540881,0.9230769230769231,XGBoost (regularized),0.9445263157894738,0.5199999999999999
0.9581519109820997,0.8594594594594595,0.9182389937106918,0.7888127853881278,0.8364779874213837,1.0,Random Forest,0.9488976608187135,0.71
0.9259796806966618,0.8864864864864865,0.8696178035800677,0.8040353089533417,0.8930817610062893,0.8461538461538461,Extra Trees,0.8985387426900585,0.8049999999999999
0.8925979680696663,0.8594594594594595,0.8056361877116593,0.754391339869281,0.8805031446540881,0.7307692307692307,Logistic Regression,0.9084751461988304,0.5099999999999999
0.09385582970488632,0.8594594594594595,0.5,0.4622093023255814,1.0,0.0,SVM,0.9291432748538012,0.05
