Arm,AUROC,Accuracy,Balanced_Accuracy,Macro_F1,Asthma_Sensitivity,COPD_Sensitivity,Model,Fold,Repeat,Threshold,Inner_CV_AUC
C_no_spx,0.8500241896468312,0.7675675675675676,0.7843492985002419,0.6716202270381837,0.7610062893081762,0.8076923076923077,Logistic Regression,1,1,0.4499999999999999,0.7957938596491227
C_no_spx,0.8480890179003387,0.7513513513513513,0.774915336236091,0.6570760799484203,0.7421383647798742,0.8076923076923077,SVM,1,1,0.835,0.8009064327485381
C_no_spx,0.8306724721819061,0.8054054054054054,0.7581035316884374,0.6895973154362416,0.8238993710691824,0.6923076923076923,Random Forest,1,1,0.715,0.802548245614035
C_no_spx,0.8043057571359459,0.7297297297297297,0.7140783744557329,0.6212741565673109,0.7358490566037735,0.6923076923076923,Extra Trees,1,1,0.4799999999999999,0.7675730994152047
C_no_spx,0.8502660861151428,0.7837837837837838,0.761611030478955,0.675096592904812,0.7924528301886793,0.7307692307692307,XGBoost (regularized),1,1,0.4599999999999999,0.8225833333333334
C_no_spx,0.756652152878568,0.7837837837837838,0.6650943396226415,0.6311802232854864,0.8301886792452831,0.5,Logistic Regression,2,1,0.4049999999999999,0.7847236842105263
C_no_spx,0.7796323173681664,0.7783783783783784,0.710208030962748,0.6501545131682118,0.8050314465408805,0.6153846153846154,SVM,2,1,0.8049999999999999,0.7990233918128655
C_no_spx,0.8125302370585389,0.8108108108108109,0.6808176100628931,0.6564804498912409,0.8616352201257862,0.5,Random Forest,2,1,0.4749999999999999,0.7863859649122806
C_no_spx,0.8113207547169812,0.8432432432432433,0.683599419448476,0.680673769418487,0.9056603773584906,0.46153846153846156,Extra Trees,2,1,0.3549999999999999,0.7738523391812866
C_no_spx,0.791485244315433,0.7675675675675676,0.7200048379293662,0.6474003811887771,0.7861635220125787,0.6538461538461539,XGBoost (regularized),2,1,0.4549999999999999,0.7866827485380117
C_no_spx,0.810566037735849,0.8260869565217391,0.6971069182389937,0.6725250278086763,0.8742138364779874,0.52,Logistic Regression,3,1,0.3549999999999999,0.794421052631579
C_no_spx,0.8135849056603774,0.7663043478260869,0.6962264150943396,0.6325980961225911,0.7924528301886793,0.6,SVM,3,1,0.835,0.7840979532163742
C_no_spx,0.790440251572327,0.782608695652174,0.7225157232704402,0.6546546546546547,0.8050314465408805,0.64,Random Forest,3,1,0.5549999999999999,0.8030891812865498
C_no_spx,0.789182389937107,0.7989130434782609,0.7488050314465409,0.6771470574287476,0.8176100628930818,0.68,Extra Trees,3,1,0.4599999999999999,0.7983581871345029
C_no_spx,0.8254088050314466,0.842391304347826,0.740251572327044,0.7073117217925511,0.8805031446540881,0.6,XGBoost (regularized),3,1,0.48499999999999993,0.8063391812865497
C_no_spx,0.7426415094339622,0.7010869565217391,0.6922012578616352,0.5924449277113286,0.7044025157232704,0.68,Logistic Regression,4,1,0.5049999999999999,0.8185219298245613
C_no_spx,0.7524528301886793,0.717391304347826,0.7184905660377359,0.6116883116883117,0.7169811320754716,0.72,SVM,4,1,0.8749999999999999,0.8147163742690058
C_no_spx,0.7922012578616353,0.7228260869565217,0.7216352201257861,0.6161492207632838,0.7232704402515723,0.72,Random Forest,4,1,0.6499999999999999,0.8120263157894737
C_no_spx,0.7977358490566038,0.592391304347826,0.679874213836478,0.5256916996047432,0.559748427672956,0.8,Extra Trees,4,1,0.6699999999999999,0.8037807017543859
C_no_spx,0.7755974842767296,0.6467391304347826,0.6944654088050315,0.5618245099835135,0.6289308176100629,0.76,XGBoost (regularized),4,1,0.6399999999999999,0.8114970760233918
C_no_spx,0.857108081791626,0.7717391304347826,0.7546251217137293,0.6645833333333333,0.7784810126582279,0.7307692307692307,Logistic Regression,5,1,0.44499999999999995,0.7915921052631579
C_no_spx,0.8831548198636806,0.8478260869565217,0.7989289191820836,0.7415211719847481,0.8670886075949367,0.7307692307692307,SVM,5,1,0.7949999999999999,0.7972558479532164
C_no_spx,0.8580817916260954,0.8641304347826086,0.7762901655306719,0.747682518786682,0.8987341772151899,0.6538461538461539,Random Forest,5,1,0.5049999999999999,0.7996900584795321
C_no_spx,0.8490749756572541,0.6467391304347826,0.7300389483933788,0.5763522369026957,0.6139240506329114,0.8461538461538461,Extra Trees,5,1,0.5399999999999999,0.7821798245614036
C_no_spx,0.8347127555988316,0.8478260869565217,0.7025316455696202,0.6961547534795942,0.9050632911392406,0.5,XGBoost (regularized),5,1,0.36499999999999994,0.8115950292397661
C_no_spx,0.7989840348330915,0.4918918918918919,0.6561441702951136,0.4599378881987578,0.4276729559748428,0.8846153846153846,Logistic Regression,6,2,0.6849999999999999,0.8491067251461987
C_no_spx,0.7939042089985486,0.7405405405405405,0.6881954523463958,0.6172413793103448,0.7610062893081762,0.6153846153846154,SVM,6,2,0.8649999999999999,0.8512529239766081
C_no_spx,0.7895500725689405,0.572972972972973,0.6872278664731495,0.5189427602778052,0.5283018867924528,0.8461538461538461,Random Forest,6,2,0.83,0.8432251461988305
C_no_spx,0.7537493952588292,0.5945945945945946,0.6998064828253507,0.535471559141585,0.5534591194968553,0.8461538461538461,Extra Trees,6,2,0.7,0.8268654970760234
C_no_spx,0.836236090953072,0.6162162162162163,0.712385099177552,0.5520886615515772,0.5786163522012578,0.8461538461538461,XGBoost (regularized),6,2,0.715,0.8543728070175438
C_no_spx,0.7987421383647799,0.772972972972973,0.7070633768746977,0.6452702702702703,0.7987421383647799,0.6153846153846154,Logistic Regression,7,2,0.48999999999999994,0.8093099415204679
C_no_spx,0.8004354136429608,0.7567567567567568,0.7298016448959845,0.6443675509419453,0.7672955974842768,0.6923076923076923,SVM,7,2,0.8649999999999999,0.835251461988304
C_no_spx,0.8171262699564588,0.7297297297297297,0.7140783744557329,0.6212741565673109,0.7358490566037735,0.6923076923076923,Random Forest,7,2,0.62,0.8227894736842105
C_no_spx,0.7847121432027092,0.7567567567567568,0.6976294146105467,0.6310003989184877,0.779874213836478,0.6153846153846154,Extra Trees,7,2,0.48999999999999994,0.8040774853801169
C_no_spx,0.8074504112239962,0.7081081081081081,0.7014997581035316,0.6035714285714286,0.710691823899371,0.6923076923076923,XGBoost (regularized),7,2,0.6599999999999999,0.8227616959064328
C_no_spx,0.8148427672955976,0.7608695652173914,0.7605031446540881,0.6547842401500938,0.7610062893081762,0.76,Logistic Regression,8,2,0.4749999999999999,0.7979298245614036
C_no_spx,0.17937106918238993,0.8641304347826086,0.5,0.46355685131195334,1.0,0.0,SVM,8,2,0.05,0.8065979532163743
C_no_spx,0.8153459119496855,0.6195652173913043,0.7293081761006289,0.5551871805497997,0.5786163522012578,0.88,Random Forest,8,2,0.71,0.8119020467836258
C_no_spx,0.8178616352201258,0.6902173913043478,0.7364779874213836,0.6010195153497926,0.6729559748427673,0.8,Extra Trees,8,2,0.5449999999999999,0.783593567251462
C_no_spx,0.7922012578616351,0.6847826086956522,0.7164779874213836,0.5912990196078431,0.6729559748427673,0.76,XGBoost (regularized),8,2,0.575,0.8242997076023393
C_no_spx,0.8233962264150942,0.7336956521739131,0.7616352201257861,0.6369054810519109,0.7232704402515723,0.8,Logistic Regression,9,2,0.49999999999999994,0.8048698830409358
C_no_spx,0.8555974842767295,0.7391304347826086,0.7816352201257861,0.6470023980815347,0.7232704402515723,0.84,SVM,9,2,0.8549999999999999,0.8232909356725147
C_no_spx,0.8558490566037735,0.7717391304347826,0.800503144654088,0.676056338028169,0.7610062893081762,0.84,Random Forest,9,2,0.7599999999999999,0.8156593567251462
C_no_spx,0.8520754716981132,0.7228260869565217,0.7890566037735849,0.6381723539618276,0.6981132075471698,0.88,Extra Trees,9,2,0.5249999999999999,0.7823947368421053
C_no_spx,0.840754716981132,0.842391304347826,0.7908176100628931,0.729068291444529,0.8616352201257862,0.72,XGBoost (regularized),9,2,0.4099999999999999,0.8250584795321638
C_no_spx,0.8220545277507303,0.6358695652173914,0.6915774099318404,0.5585633974290114,0.6139240506329114,0.7692307692307693,Logistic Regression,10,2,0.5149999999999999,0.7869795321637427
C_no_spx,0.810856864654333,0.7010869565217391,0.7134858812074002,0.6043010752688173,0.6962025316455697,0.7307692307692307,SVM,10,2,0.8949999999999999,0.8092587719298245
C_no_spx,0.791869522882181,0.7554347826086957,0.7290652385589094,0.6438250096786682,0.7658227848101266,0.6923076923076923,Random Forest,10,2,0.8099999999999999,0.8089312865497076
C_no_spx,0.7577896786757546,0.7717391304347826,0.7064264849074976,0.6447876447876448,0.7974683544303798,0.6153846153846154,Extra Trees,10,2,0.5499999999999999,0.8107149122807018
C_no_spx,0.8079357351509251,0.7391304347826086,0.7677702044790653,0.6470023980815347,0.7278481012658228,0.8076923076923077,XGBoost (regularized),10,2,0.575,0.7984064327485381
C_no_spx,0.8297048863086599,0.6054054054054054,0.6900096758587324,0.5394714407502131,0.5723270440251572,0.8076923076923077,Logistic Regression,11,3,0.63,0.8074809941520467
C_no_spx,0.8212385099177552,0.7891891891891892,0.7325834542815675,0.6672201466722014,0.8113207547169812,0.6538461538461539,SVM,11,3,0.825,0.828078947368421
C_no_spx,0.8294629898403483,0.8,0.7388727624576681,0.6775637100193131,0.8238993710691824,0.6538461538461539,Random Forest,11,3,0.5599999999999999,0.8207222222222222
C_no_spx,0.8188195452346396,0.827027027027027,0.690251572327044,0.6728558797524316,0.8805031446540881,0.5,Extra Trees,11,3,0.4099999999999999,0.8132368421052633
C_no_spx,0.8386550556361877,0.6270270270270271,0.7186744073536526,0.5604490203505389,0.5911949685534591,0.8461538461538461,XGBoost (regularized),11,3,0.6749999999999999,0.8221140350877192
C_no_spx,0.7677793904208998,0.7837837837837838,0.6972665699080793,0.6476190476190476,0.8176100628930818,0.5769230769230769,Logistic Regression,12,3,0.39499999999999996,0.8192134502923978
C_no_spx,0.7520561199806484,0.7945945945945946,0.70355587808418,0.6576743280093494,0.8301886792452831,0.5769230769230769,SVM,12,3,0.7949999999999999,0.8407061403508772
C_no_spx,0.7310111272375424,0.7567567567567568,0.633284954039671,0.5991622129134768,0.8050314465408805,0.46153846153846156,Random Forest,12,3,0.725,0.8324078947368421
C_no_spx,0.6973875181422351,0.6432432432432432,0.6155055636187712,0.5358120437956204,0.6540880503144654,0.5769230769230769,Extra Trees,12,3,0.8749999999999999,0.8196783625730995
C_no_spx,0.7653604257377843,0.8054054054054054,0.6615868408321239,0.6419354838709678,0.8616352201257862,0.46153846153846156,XGBoost (regularized),12,3,0.5149999999999999,0.8302266081871345
C_no_spx,0.8681761006289308,0.8260869565217391,0.7308176100628931,0.6896479021716213,0.8616352201257862,0.6,Logistic Regression,13,3,0.3999999999999999,0.8034707602339182
C_no_spx,0.8485534591194969,0.8369565217391305,0.7202515723270441,0.692992213570634,0.8805031446540881,0.56,SVM,13,3,0.71,0.8034532163742689
C_no_spx,0.8238993710691824,0.8152173913043478,0.6739622641509434,0.6520578420467186,0.8679245283018868,0.48,Random Forest,13,3,0.49499999999999994,0.8203216374269007
