Model,A_full_mean,A_full_sd,B_no_ratio_mean,B_no_ratio_sd,C_no_spx_mean,C_no_spx_sd,D_final_mean,D_final_sd,ratio_effect,total_spx_effect,race_effect,A_minus_D
Extra Trees,0.91140839227646,0.027796484190482723,0.8531036468189083,0.036595533560754435,0.7976776285572559,0.041947161746440975,0.7796005327846264,0.0428577690891882,0.05830474545755171,0.1137307637192041,0.018077095772629503,0.1318078594918336
Logistic Regression,0.926670293276503,0.018586103357518,0.8971425449958051,0.023893305372384755,0.8090093819085937,0.037004642275747034,0.794140876828768,0.037847861772460974,0.02952774828069782,0.11766091136790924,0.014868505079825733,0.13252941644773497
Random Forest,0.9596901275621125,0.011628727238802126,0.9159693630467932,0.02097987740914739,0.8171248271511945,0.03803947740666563,0.8035410979037682,0.03822984969630338,0.043720764515319255,0.14256530041091797,0.013583729247426346,0.15614902965834432
SVM,0.9008905856344117,0.1733536034830589,0.9057505630982345,0.026470963629510867,0.7675500566466412,0.1756405986269446,0.7434383127262039,0.1798478743862629,-0.004859977463822829,0.1333405289877705,0.024111743920437356,0.15745227290820785
XGBoost (regularized),0.9593073113973043,0.012206235704425928,0.9268581421126442,0.017484251147104758,0.8182605182095988,0.03789848999189696,0.8037568946617429,0.03843441479538072,0.03244916928466013,0.14104679318770552,0.014503623547855837,0.15555041673556136
