Arm,AUROC,Accuracy,Balanced_Accuracy,Macro_F1,Asthma_Sensitivity,COPD_Sensitivity,Model,Fold,Repeat,Threshold,Inner_CV_AUC
A_complete_spx,0.9043809523809524,0.8076923076923077,0.8504761904761905,0.7578060958342648,0.780952380952381,0.92,Logistic Regression,1,1,0.49999999999999994,0.9005231268134495
A_complete_spx,0.9140952380952381,0.8076923076923077,0.8657142857142857,0.7619222035015749,0.7714285714285715,0.96,SVM,1,1,0.7999999999999999,0.9029764038231779
A_complete_spx,0.9325714285714285,0.8076923076923077,0.8657142857142857,0.7619222035015749,0.7714285714285715,0.96,Random Forest,1,1,0.59,0.9300554702167606
A_complete_spx,0.8864761904761904,0.8307692307692308,0.7885714285714285,0.7558893820416525,0.8571428571428571,0.72,Extra Trees,1,1,0.4799999999999999,0.8655768902543096
A_complete_spx,0.8933333333333333,0.7692307692307693,0.8419047619047619,0.7252747252747254,0.7238095238095238,0.96,XGBoost (regularized),1,1,0.37499999999999994,0.9338665941286909
A_complete_spx,0.8594674556213018,0.7692307692307693,0.7980769230769231,0.7166521360069747,0.75,0.8461538461538461,Logistic Regression,2,1,0.69,0.9242933947772658
A_complete_spx,0.8561390532544378,0.8153846153846154,0.7836538461538461,0.7458455522971652,0.8365384615384616,0.7307692307692307,SVM,2,1,0.7999999999999999,0.9387933094384706
A_complete_spx,0.9212278106508875,0.8076923076923077,0.8221153846153846,0.7533955535321344,0.7980769230769231,0.8461538461538461,Random Forest,2,1,0.7649999999999999,0.9506071855265403
A_complete_spx,0.8125,0.7230769230769231,0.7115384615384615,0.6542553191489362,0.7307692307692307,0.6923076923076923,Extra Trees,2,1,0.725,0.9276868919610856
A_complete_spx,0.9204881656804733,0.7923076923076923,0.8557692307692308,0.750904832872046,0.75,0.9615384615384616,XGBoost (regularized),2,1,0.8549999999999999,0.9523547107014849
A_complete_spx,0.9315828402366864,0.9,0.8076923076923077,0.8311856957346919,0.9615384615384616,0.6538461538461539,Logistic Regression,3,1,0.38999999999999996,0.9038543266769073
A_complete_spx,0.9123520710059171,0.8769230769230769,0.8076923076923077,0.8076923076923077,0.9230769230769231,0.6923076923076923,SVM,3,1,0.735,0.9014878818911077
A_complete_spx,0.9485946745562129,0.9230769230769231,0.8798076923076923,0.8798076923076923,0.9519230769230769,0.8076923076923077,Random Forest,3,1,0.7,0.9157893838539
A_complete_spx,0.8960798816568046,0.8615384615384616,0.8413461538461539,0.8049999999999999,0.875,0.8076923076923077,Extra Trees,3,1,0.58,0.8626804915514592
A_complete_spx,0.963387573964497,0.9230769230769231,0.9375,0.8916666666666666,0.9134615384615384,0.9615384615384616,XGBoost (regularized),3,1,0.49499999999999994,0.924688406724697
A_complete_spx,0.9289940828402367,0.8384615384615385,0.8125,0.775105033363539,0.8557692307692307,0.7692307692307693,Logistic Regression,4,1,0.4799999999999999,0.905595238095238
A_complete_spx,0.930103550295858,0.8384615384615385,0.8125,0.775105033363539,0.8557692307692307,0.7692307692307693,SVM,4,1,0.7949999999999999,0.9168936678614097
A_complete_spx,0.9467455621301775,0.8769230769230769,0.8653846153846154,0.8266666666666667,0.8846153846153846,0.8461538461538461,Random Forest,4,1,0.6599999999999999,0.9387019969278032
A_complete_spx,0.8735207100591716,0.7692307692307693,0.7259615384615385,0.6890943877551021,0.7980769230769231,0.6538461538461539,Extra Trees,4,1,0.48499999999999993,0.879556024918928
A_complete_spx,0.922337278106509,0.8692307692307693,0.8894230769230769,0.8256410256410256,0.8557692307692307,0.9230769230769231,XGBoost (regularized),4,1,0.5249999999999999,0.9443996415770609
A_complete_spx,0.911923076923077,0.8527131782945736,0.8175,0.7860696517412935,0.875,0.76,Logistic Regression,5,1,0.4599999999999999,0.8883403737839222
A_complete_spx,0.9342307692307692,0.8372093023255814,0.8838461538461538,0.7922705314009661,0.8076923076923077,0.96,SVM,5,1,0.835,0.8990860215053763
A_complete_spx,0.9499999999999998,0.8062015503875969,0.8798076923076923,0.7650273224043715,0.7596153846153846,1.0,Random Forest,5,1,0.6549999999999999,0.9267460317460318
A_complete_spx,0.9203846153846154,0.8294573643410853,0.803076923076923,0.7611111111111111,0.8461538461538461,0.76,Extra Trees,5,1,0.615,0.8975454429083463
A_complete_spx,0.9611538461538461,0.8837209302325582,0.8975,0.838978114338021,0.875,0.92,XGBoost (regularized),5,1,0.43999999999999995,0.9276248079877114
A_complete_spx,0.924952380952381,0.8692307692307693,0.8428571428571429,0.8090052718001901,0.8857142857142857,0.8,Logistic Regression,6,2,0.4649999999999999,0.9068394777265745
A_complete_spx,0.0838095238095238,0.8076923076923077,0.5,0.44680851063829785,1.0,0.0,SVM,6,2,0.05,0.9056093189964157
A_complete_spx,0.968,0.8769230769230769,0.9238095238095239,0.837550765385817,0.8476190476190476,1.0,Random Forest,6,2,0.6699999999999999,0.9387939494794333
A_complete_spx,0.9196190476190476,0.8538461538461538,0.8333333333333334,0.7917193692554179,0.8666666666666667,0.8,Extra Trees,6,2,0.49999999999999994,0.8848429766171702
A_complete_spx,0.9542857142857144,0.8461538461538461,0.9047619047619048,0.8045112781954887,0.8095238095238095,1.0,XGBoost (regularized),6,2,0.6399999999999999,0.9503048728451955
A_complete_spx,0.9441568047337278,0.8538461538461538,0.8798076923076923,0.8089861572964194,0.8365384615384616,0.9230769230769231,Logistic Regression,7,2,0.5249999999999999,0.9138204045058884
A_complete_spx,0.9530325443786982,0.8846153846153846,0.8990384615384616,0.8428813149625332,0.875,0.9230769230769231,SVM,7,2,0.7849999999999999,0.9181041986687148
A_complete_spx,0.9615384615384616,0.9153846153846154,0.8317307692307692,0.8571571271601239,0.9711538461538461,0.6923076923076923,Random Forest,7,2,0.4799999999999999,0.9387888291517322
A_complete_spx,0.9223372781065089,0.8923076923076924,0.8317307692307692,0.8317307692307692,0.9326923076923077,0.7307692307692307,Extra Trees,7,2,0.6,0.8928543693463048
A_complete_spx,0.9582100591715976,0.9,0.9230769230769231,0.8638304729675288,0.8846153846153846,0.9615384615384616,XGBoost (regularized),7,2,0.725,0.9353311145246629
A_complete_spx,0.9215976331360946,0.8538461538461538,0.8221153846153846,0.7917193692554179,0.875,0.7692307692307693,Logistic Regression,8,2,0.43499999999999994,0.9152383085850827
A_complete_spx,0.9086538461538461,0.8692307692307693,0.7884615384615385,0.7926634768740032,0.9230769230769231,0.6538461538461539,SVM,8,2,0.4799999999999999,0.9393706263867555
A_complete_spx,0.9297337278106509,0.8461538461538461,0.8028846153846154,0.7780812564015023,0.875,0.7307692307692307,Random Forest,8,2,0.5549999999999999,0.947992191500256
A_complete_spx,0.8779585798816567,0.8846153846153846,0.8125,0.8170560090064733,0.9326923076923077,0.6923076923076923,Extra Trees,8,2,0.48999999999999994,0.8987037037037038
A_complete_spx,0.944896449704142,0.8615384615384616,0.8990384615384616,0.8207720588235294,0.8365384615384616,0.9615384615384616,XGBoost (regularized),8,2,0.625,0.9525782983444273
A_complete_spx,0.9456360946745562,0.8538461538461538,0.8653846153846154,0.8051282051282052,0.8461538461538461,0.8846153846153846,Logistic Regression,9,2,0.5149999999999999,0.8997561443932411
A_complete_spx,0.9504437869822485,0.8692307692307693,0.8894230769230769,0.8256410256410256,0.8557692307692307,0.9230769230769231,SVM,9,2,0.7949999999999999,0.9030120327700975
A_complete_spx,0.959319526627219,0.8846153846153846,0.8701923076923077,0.8355679230963825,0.8942307692307693,0.8461538461538461,Random Forest,9,2,0.6,0.9274050605905444
A_complete_spx,0.8790680473372781,0.8307692307692308,0.7644230769230769,0.7496498599439776,0.875,0.6538461538461539,Extra Trees,9,2,0.42999999999999994,0.8789358252261478
A_complete_spx,0.9541420118343196,0.8692307692307693,0.9038461538461539,0.8290928775810069,0.8461538461538461,0.9615384615384616,XGBoost (regularized),9,2,0.49499999999999994,0.9333403737839221
A_complete_spx,0.8292307692307692,0.8062015503875969,0.7278846153846154,0.7111509180474698,0.8557692307692307,0.6,Logistic Regression,10,2,0.42999999999999994,0.94127688172043
A_complete_spx,0.8411538461538461,0.8062015503875969,0.7126923076923077,0.7031753336401289,0.8653846153846154,0.56,SVM,10,2,0.72,0.9419619388974227
A_complete_spx,0.8896153846153846,0.7906976744186046,0.8246153846153846,0.7376666415605935,0.7692307692307693,0.88,Random Forest,10,2,0.705,0.954260325994197
A_complete_spx,0.8546153846153846,0.7596899224806202,0.7598076923076923,0.6933517368299977,0.7596153846153846,0.76,Extra Trees,10,2,0.7599999999999999,0.9110814558798429
A_complete_spx,0.8711538461538462,0.7906976744186046,0.8094230769230769,0.7329192546583851,0.7788461538461539,0.84,XGBoost (regularized),10,2,0.7,0.9608222392899812
A_complete_spx,0.9257142857142858,0.8769230769230769,0.8323809523809524,0.8130169003955412,0.9047619047619048,0.76,Logistic Regression,11,3,0.5249999999999999,0.9282785031575355
A_complete_spx,0.9279999999999999,0.8769230769230769,0.878095238095238,0.8266666666666667,0.8761904761904762,0.88,SVM,11,3,0.8499999999999999,0.9305299539170507
A_complete_spx,0.9420952380952381,0.8923076923076924,0.8876190476190476,0.8446568794810516,0.8952380952380953,0.88,Random Forest,11,3,0.6499999999999999,0.9408653353814644
