Model,A_all_cases,A_complete_spx,imputation_effect
Random Forest,0.9596901275621125,0.9377448605240913,0.021945267038021132
XGBoost (regularized),0.9593073113973043,0.9357934939419557,0.02351381745534864
Logistic Regression,0.926670293276503,0.9108109101155256,0.015859383160977347
Extra Trees,0.91140839227646,0.8871615511411663,0.02424684113529363
SVM,0.9008905856344117,0.8816496548323473,0.01924093080206446
