Arm,AUROC,Accuracy,Balanced_Accuracy,Macro_F1,Asthma_Sensitivity,COPD_Sensitivity,Model,Fold,Repeat,Threshold,Inner_CV_AUC
A_full,0.8896952104499275,0.8810810810810811,0.8021286889211418,0.7750884173297967,0.9119496855345912,0.6923076923076923,Logistic Regression,1,1,0.48499999999999993,0.9252222222222223
A_full,0.9262215771649733,0.8378378378378378,0.841315916787615,0.7466216216216217,0.8364779874213837,0.8461538461538461,SVM,1,1,0.8949999999999999,0.9296359649122807
A_full,0.9610546686018384,0.8810810810810811,0.8986453797774553,0.8061904761904761,0.8742138364779874,0.9230769230769231,Random Forest,1,1,0.625,0.9481447368421053
A_full,0.889937106918239,0.8810810810810811,0.8021286889211418,0.7750884173297967,0.9119496855345912,0.6923076923076923,Extra Trees,1,1,0.6649999999999999,0.8909780701754386
A_full,0.964683115626512,0.8972972972972973,0.9241654571843252,0.8307573787856902,0.8867924528301887,0.9615384615384616,XGBoost (regularized),1,1,0.41999999999999993,0.9482090643274855
A_full,0.9134010643444607,0.8594594594594595,0.8378084179970973,0.7657771717958707,0.8679245283018868,0.8076923076923077,Logistic Regression,2,1,0.4699999999999999,0.9170146198830409
A_full,0.9257377842283503,0.7675675675675676,0.8486937590711175,0.6911998757812197,0.7358490566037735,0.9615384615384616,SVM,2,1,0.9099999999999999,0.9211140350877194
A_full,0.9521044992743106,0.8054054054054054,0.8867924528301887,0.7316247582205029,0.7735849056603774,1.0,Random Forest,2,1,0.8749999999999999,0.9449093567251463
A_full,0.9412191582002902,0.8972972972972973,0.8115626511852927,0.7971139971139971,0.9308176100628931,0.6923076923076923,Extra Trees,2,1,0.5499999999999999,0.8736739766081871
A_full,0.9680696661828737,0.8756756756756757,0.9115868408321239,0.8037452147041189,0.8616352201257862,0.9615384615384616,XGBoost (regularized),2,1,0.42499999999999993,0.9500116959064329
A_full,0.9567295597484277,0.8260869565217391,0.8825157232704403,0.7444444444444445,0.8050314465408805,0.96,Logistic Regression,3,1,0.595,0.8996315789473683
A_full,0.9740880503144653,0.8478260869565217,0.8950943396226415,0.7678442682047584,0.8301886792452831,0.96,SVM,3,1,0.8749999999999999,0.8955233918128653
A_full,0.9735849056603774,0.875,0.9276729559748428,0.8034827025771999,0.8553459119496856,1.0,Random Forest,3,1,0.825,0.9435160818713451
A_full,0.9076729559748428,0.7989130434782609,0.79937106918239,0.6961663765787477,0.7987421383647799,0.8,Extra Trees,3,1,0.74,0.8989049707602341
